datetime,season,weather,temp,humidity,windspeed,casual,registered,count
2011-01-02 21:00:00,4,1,16.15,67.6,19.91,41,55,96
2011-01-02 22:00:00,4,4,11.27,99.89,7.54,27,60,87
2011-01-02 23:00:00,3,1,28.25,95.56,23.07,2,102,104
2011-01-03 00:00:00,2,4,17.99,20.21,47.55,27,43,70
2011-01-03 01:00:00,2,2,10.76,83.63,40.08,4,165,169
2011-01-03 02:00:00,3,2,32.13,48.29,10.29,1,103,104
2011-01-03 03:00:00,2,1,10.94,25.09,19.57,37,177,214
2011-01-03 04:00:00,3,3,5.77,43.68,46.39,15,73,88
2011-01-03 05:00:00,4,2,5.61,45.74,6.18,43,31,74
2011-01-03 06:00:00,3,1,23.67,61.86,12.7,16,120,136
2011-01-03 07:00:00,4,4,24.85,72.89,13.11,11,89,100
2011-01-03 08:00:00,4,4,14.33,79.92,28.55,25,52,77
2011-01-03 09:00:00,1,1,14.6,39.67,20.54,48,175,223
2011-01-03 10:00:00,3,3,15.18,45.74,3.99,6,0,6
2011-01-03 11:00:00,1,1,25.4,44.67,31.46,23,102,125
2011-01-03 12:00:00,3,1,6.74,49.02,4.95,15,117,132
2011-01-03 13:00:00,3,2,32.87,99.97,30.32,17,29,46
2011-01-03 14:00:00,1,1,11.68,82.24,25.35,7,8,15
2011-01-03 15:00:00,1,1,34.99,98.0,24.68,26,107,133
2011-01-03 16:00:00,3,4,10.15,75.45,3.37,25,32,57
2011-01-03 17:00:00,2,2,28.15,52.5,31.96,30,25,55
2011-01-03 18:00:00,4,4,11.7,51.18,21.57,17,41,58
2011-01-03 19:00:00,1,4,7.43,59.09,20.56,1,41,42
2011-01-03 20:00:00,4,3,31.25,53.35,29.82,40,95,135
2011-01-03 21:00:00,2,3,30.76,86.27,30.31,22,38,60
2011-01-03 22:00:00,2,2,17.11,57.2,0.75,47,60,107
2011-01-03 23:00:00,2,2,26.07,43.65,6.26,48,46,94
2011-01-04 00:00:00,1,3,21.71,81.99,11.83,41,169,210
2011-01-04 01:00:00,2,3,30.59,88.35,33.9,21,47,68
2011-01-04 02:00:00,1,3,14.45,53.63,28.84,32,179,211
2011-01-04 03:00:00,2,3,20.71,73.42,37.88,17,160,177
2011-01-04 04:00:00,4,3,19.56,24.7,37.03,14,154,168
2011-01-04 05:00:00,4,4,15.62,62.36,42.66,40,170,210
2011-01-04 06:00:00,3,2,31.74,23.6,18.84,2,156,158
2011-01-04 07:00:00,4,4,9.98,22.34,17.25,47,146,193
2011-01-04 08:00:00,3,4,9.49,69.03,41.55,22,127,149
2011-01-04 09:00:00,4,1,22.31,44.27,11.88,46,98,144
2011-01-04 10:00:00,1,4,24.72,79.4,23.06,1,110,111
2011-01-04 11:00:00,4,3,10.84,91.69,9.72,41,27,68
2011-01-04 12:00:00,3,3,16.72,31.15,45.69,3,9,12
2011-01-04 13:00:00,3,1,33.4,77.96,20.39,25,194,219
2011-01-04 14:00:00,2,1,12.4,61.16,10.62,18,105,123
2011-01-04 15:00:00,1,1,25.05,28.97,34.6,48,143,191
2011-01-04 16:00:00,4,1,27.2,72.13,12.23,9,99,108
2011-01-04 17:00:00,2,1,18.44,68.76,47.18,21,0,21
2011-01-04 18:00:00,4,4,33.13,61.25,18.38,5,117,122
2011-01-04 19:00:00,4,1,27.1,94.12,33.23,0,81,81
2011-01-04 20:00:00,2,4,18.74,61.69,17.26,42,131,173
2011-01-04 21:00:00,2,2,22.08,99.24,40.36,15,196,211
2011-01-04 22:00:00,2,1,25.78,60.74,44.85,6,131,137
2011-01-04 23:00:00,2,1,22.77,29.27,39.4,23,114,137
2011-01-05 00:00:00,2,4,31.36,57.64,42.42,34,147,181
2011-01-05 01:00:00,4,2,15.71,34.59,5.09,13,62,75
2011-01-05 02:00:00,2,4,14.0,67.77,46.2,3,34,37
2011-01-05 03:00:00,1,4,11.42,75.45,31.22,40,115,155
2011-01-05 04:00:00,3,1,6.13,57.47,43.46,14,44,58
2011-01-05 05:00:00,2,3,6.29,27.82,34.22,43,56,99
2011-01-05 06:00:00,2,3,31.1,57.49,10.09,47,120,167
2011-01-05 07:00:00,4,4,25.35,26.52,30.48,22,151,173
2011-01-05 08:00:00,2,1,24.82,74.57,4.55,18,19,37
2011-01-05 09:00:00,2,2,23.44,83.23,34.79,13,155,168
2011-01-05 10:00:00,2,3,30.48,96.99,20.45,26,165,191
2011-01-05 11:00:00,4,2,19.41,31.9,7.59,35,151,186
2011-01-05 12:00:00,2,3,31.11,62.59,48.96,37,23,60
2011-01-05 13:00:00,3,1,15.78,65.4,45.05,21,69,90
2011-01-05 14:00:00,4,4,32.8,93.8,44.68,10,101,111
2011-01-05 15:00:00,3,2,25.96,70.18,39.44,3,126,129
2011-01-05 16:00:00,4,2,12.72,31.64,34.6,31,117,148
2011-01-05 17:00:00,2,4,21.92,54.91,32.75,39,24,63
2011-01-05 18:00:00,3,2,20.99,72.38,5.3,40,80,120
2011-01-05 19:00:00,4,3,9.14,76.02,45.03,23,196,219
2011-01-05 20:00:00,1,4,22.74,89.05,44.06,33,16,49
2011-01-05 21:00:00,2,3,14.44,34.44,37.39,2,57,59
2011-01-05 22:00:00,4,3,6.57,96.12,46.37,37,147,184
2011-01-05 23:00:00,1,1,33.46,24.73,27.65,1,1,2
2011-01-06 00:00:00,4,3,24.24,98.7,22.38,22,82,104
2011-01-06 01:00:00,1,1,31.31,88.62,48.4,39,8,47
2011-01-06 02:00:00,2,2,25.28,72.82,23.21,19,190,209
2011-01-06 03:00:00,3,2,15.71,78.8,32.07,7,122,129
2011-01-06 04:00:00,1,1,20.38,25.82,18.65,34,103,137
2011-01-06 05:00:00,4,3,25.27,23.32,31.82,48,82,130
2011-01-06 06:00:00,2,4,33.81,28.14,36.0,42,108,150
2011-01-06 07:00:00,1,4,12.61,26.99,31.23,2,119,121
2011-01-06 08:00:00,4,1,31.25,63.79,25.73,31,195,226
2011-01-06 09:00:00,4,2,32.72,37.24,15.01,30,133,163
2011-01-06 10:00:00,4,2,25.11,88.82,32.19,43,10,53
2011-01-06 11:00:00,1,4,32.94,55.66,45.42,45,148,193
2011-01-06 12:00:00,1,1,16.94,75.64,0.35,30,105,135
2011-01-06 13:00:00,1,4,33.59,72.23,6.7,0,190,190
2011-01-06 14:00:00,3,3,26.08,45.59,5.99,11,127,138
2011-01-06 15:00:00,1,3,6.26,39.45,46.16,17,29,46
2011-01-06 16:00:00,1,1,32.21,47.4,33.14,23,81,104
2011-01-06 17:00:00,1,1,19.53,83.73,47.59,35,114,149
2011-01-06 18:00:00,3,3,18.81,66.9,29.14,28,148,176
2011-01-06 19:00:00,1,2,21.99,40.28,23.09,24,150,174
2011-01-06 20:00:00,4,1,9.48,85.43,39.62,22,60,82
2011-01-06 21:00:00,1,3,19.07,24.38,8.05,2,157,159
2011-01-06 22:00:00,4,3,29.93,75.93,19.07,29,173,202
2011-01-06 23:00:00,4,2,5.46,55.13,23.31,16,187,203
2011-01-07 00:00:00,4,2,13.19,78.5,14.92,44,17,61
2011-01-07 01:00:00,3,2,5.07,94.2,18.56,48,61,109
2011-01-07 02:00:00,3,2,17.47,80.0,3.91,29,172,201
2011-01-07 03:00:00,3,4,26.85,55.36,9.9,48,60,108
2011-01-07 04:00:00,1,2,28.96,32.08,16.77,18,58,76
2011-01-07 05:00:00,4,4,33.36,84.51,39.79,4,162,166
2011-01-07 06:00:00,3,1,23.26,56.86,9.12,39,109,148
2011-01-07 07:00:00,3,3,12.64,26.02,17.33,33,149,182
2011-01-07 08:00:00,1,4,32.72,77.52,3.25,8,113,121
2011-01-07 09:00:00,3,1,28.26,43.35,27.86,38,151,189
2011-01-07 10:00:00,1,1,22.23,23.91,30.56,47,50,97
2011-01-07 11:00:00,2,4,25.87,92.22,43.28,43,64,107
2011-01-07 12:00:00,3,1,32.73,58.65,40.96,25,142,167
2011-01-07 13:00:00,2,1,26.37,42.48,14.27,4,111,115
2011-01-07 14:00:00,1,4,16.05,77.31,6.85,23,155,178
2011-01-07 15:00:00,4,1,26.39,90.87,7.8,30,41,71
2011-01-07 16:00:00,3,2,6.21,20.02,48.45,23,147,170
2011-01-07 17:00:00,1,2,16.59,75.03,33.66,20,42,62
2011-01-07 18:00:00,4,3,17.19,81.36,2.13,21,196,217
2011-01-07 19:00:00,4,1,10.01,36.79,6.84,37,190,227
2011-01-07 20:00:00,2,3,5.69,59.17,24.29,21,170,191
2011-01-07 21:00:00,1,2,9.0,27.14,10.39,20,1,21
2011-01-07 22:00:00,4,2,24.64,79.74,40.18,29,150,179
2011-01-07 23:00:00,3,2,29.07,87.8,28.66,48,139,187
2011-01-08 00:00:00,3,1,34.65,28.65,30.63,46,173,219
2011-01-08 01:00:00,2,1,15.39,85.32,23.14,9,125,134
2011-01-08 02:00:00,4,2,22.98,81.73,12.8,2,160,162
2011-01-08 03:00:00,1,3,33.11,47.75,29.47,38,43,81
2011-01-08 04:00:00,3,3,10.01,75.22,35.85,28,152,180
2011-01-08 05:00:00,4,4,26.53,20.0,18.55,24,34,58
2011-01-08 06:00:00,4,2,27.65,94.54,25.25,1,162,163
2011-01-08 07:00:00,2,3,7.67,64.03,41.98,12,64,76
2011-01-08 08:00:00,3,2,30.84,69.63,7.43,26,170,196
2011-01-08 09:00:00,3,3,29.39,73.17,27.26,28,195,223
2011-01-08 10:00:00,1,4,6.0,64.91,17.42,13,189,202
2011-01-08 11:00:00,3,4,7.73,88.54,35.14,3,158,161
2011-01-08 12:00:00,1,2,6.47,68.78,0.94,7,155,162
2011-01-08 13:00:00,3,3,15.04,92.62,33.52,4,138,142
2011-01-08 14:00:00,2,1,20.28,66.59,5.14,43,31,74
2011-01-08 15:00:00,3,4,20.97,33.69,3.24,26,65,91
2011-01-08 16:00:00,1,2,13.03,93.09,36.23,23,59,82
2011-01-08 17:00:00,1,2,32.35,74.53,32.02,43,178,221
2011-01-08 18:00:00,2,3,16.05,75.94,44.75,42,186,228
2011-01-08 19:00:00,3,2,6.37,98.84,25.98,33,144,177
2011-01-08 20:00:00,3,4,14.01,26.02,26.5,27,114,141
2011-01-08 21:00:00,2,2,20.93,54.29,35.35,23,67,90
2011-01-08 22:00:00,3,2,17.25,39.13,16.17,4,165,169
2011-01-08 23:00:00,3,1,13.22,70.43,1.85,12,63,75
2011-01-09 00:00:00,1,1,8.94,84.54,11.5,17,130,147
2011-01-09 01:00:00,3,4,29.57,97.3,11.9,16,53,69
2011-01-09 02:00:00,3,3,34.88,56.37,16.78,29,75,104
2011-01-09 03:00:00,2,1,14.89,82.9,47.17,37,171,208
2011-01-09 04:00:00,2,3,16.45,93.36,40.24,18,126,144
2011-01-09 05:00:00,4,4,23.54,74.67,46.8,21,157,178
2011-01-09 06:00:00,1,1,26.55,39.42,49.93,48,109,157
2011-01-09 07:00:00,3,3,16.76,68.63,21.69,48,87,135
2011-01-09 08:00:00,3,1,32.15,97.6,11.35,17,112,129
2011-01-09 09:00:00,4,4,21.8,99.0,28.0,25,53,78
2011-01-09 10:00:00,3,4,18.51,71.39,44.06,14,47,61
2011-01-09 11:00:00,1,1,24.4,90.96,23.29,27,34,61
2011-01-09 12:00:00,4,3,33.58,36.03,25.27,29,67,96
2011-01-09 13:00:00,1,2,28.84,39.69,6.72,27,25,52
2011-01-09 14:00:00,4,2,6.2,96.23,21.02,19,71,90
2011-01-09 15:00:00,4,1,14.97,30.82,19.35,3,87,90
2011-01-09 16:00:00,2,3,19.12,35.29,17.58,3,106,109
2011-01-09 17:00:00,1,2,14.44,53.64,44.36,36,55,91
2011-01-09 18:00:00,3,4,26.01,67.17,2.97,14,68,82
2011-01-09 19:00:00,3,3,29.79,68.31,48.61,33,79,112
2011-01-09 20:00:00,1,2,26.94,43.36,0.41,10,191,201
2011-01-09 21:00:00,3,3,34.68,93.65,47.28,22,95,117
2011-01-09 22:00:00,3,1,13.18,93.21,27.4,34,156,190
2011-01-09 23:00:00,1,3,31.25,51.37,35.12,42,125,167
2011-01-10 00:00:00,4,2,28.0,54.74,9.36,34,104,138
2011-01-10 01:00:00,1,1,15.87,76.2,32.71,10,58,68
2011-01-10 02:00:00,4,3,27.02,73.04,44.1,1,24,25
2011-01-10 03:00:00,3,4,8.12,50.58,6.97,14,199,213
2011-01-10 04:00:00,3,2,28.68,53.14,6.35,39,26,65
2011-01-10 05:00:00,3,1,20.97,47.84,15.2,27,98,125
2011-01-10 06:00:00,2,3,13.77,38.83,8.09,30,21,51
2011-01-10 07:00:00,4,4,24.67,56.65,5.53,31,198,229
2011-01-10 08:00:00,2,2,24.25,74.91,33.92,33,46,79
2011-01-10 09:00:00,2,4,11.28,79.36,10.69,49,121,170
2011-01-10 10:00:00,1,3,5.91,82.31,33.35,21,54,75
2011-01-10 11:00:00,2,3,18.01,49.98,43.1,28,8,36
2011-01-10 12:00:00,1,1,22.09,81.17,32.6,7,53,60
2011-01-10 13:00:00,1,4,31.3,20.52,5.97,21,113,134
2011-01-10 14:00:00,2,1,32.85,58.16,28.68,11,63,74
2011-01-10 15:00:00,4,2,20.86,83.51,19.68,22,117,139
2011-01-10 16:00:00,4,1,27.61,70.4,17.17,37,108,145
2011-01-10 17:00:00,4,2,18.18,57.93,15.93,1,98,99
2011-01-10 18:00:00,4,3,27.38,71.57,46.47,11,166,177
2011-01-10 19:00:00,4,3,11.14,92.56,37.13,20,82,102
2011-01-10 20:00:00,2,4,16.13,65.31,6.69,11,7,18
2011-01-10 21:00:00,2,2,24.03,83.98,23.8,44,106,150
2011-01-10 22:00:00,3,3,5.54,98.46,15.91,30,154,184
2011-01-10 23:00:00,4,4,26.67,76.45,48.9,8,196,204
2011-01-11 00:00:00,2,4,30.07,65.87,48.9,14,111,125
2011-01-11 01:00:00,3,1,16.97,23.0,15.98,31,160,191
2011-01-11 02:00:00,4,4,18.44,49.96,17.61,42,137,179
2011-01-11 03:00:00,1,3,30.54,65.24,29.97,8,105,113
2011-01-11 04:00:00,3,1,28.27,83.78,23.97,23,143,166
2011-01-11 05:00:00,2,2,13.64,55.05,10.66,7,10,17
2011-01-11 06:00:00,1,2,14.72,96.8,33.02,27,18,45
2011-01-11 07:00:00,1,3,25.37,41.74,16.71,17,191,208
2011-01-11 08:00:00,1,3,21.9,79.57,32.69,42,51,93
2011-01-11 09:00:00,3,1,9.87,53.52,19.18,36,142,178
2011-01-11 10:00:00,2,1,14.3,58.88,35.01,35,41,76
2011-01-11 11:00:00,1,3,32.0,84.2,33.39,36,99,135
2011-01-11 12:00:00,4,3,25.65,43.7,25.44,31,95,126
2011-01-11 13:00:00,1,2,34.58,27.74,35.24,20,82,102
2011-01-11 14:00:00,1,2,28.01,61.62,23.05,38,78,116
2011-01-11 15:00:00,3,2,33.26,62.3,5.81,48,165,213
2011-01-11 16:00:00,3,3,11.49,83.77,9.11,28,127,155
2011-01-11 17:00:00,2,4,28.14,97.47,12.3,17,85,102
2011-01-11 18:00:00,4,3,5.61,24.42,3.16,22,48,70
2011-01-11 19:00:00,3,3,25.12,67.34,35.57,32,76,108
2011-01-11 20:00:00,1,2,19.08,74.5,18.37,47,83,130
2011-01-11 21:00:00,2,3,15.4,98.86,4.68,8,48,56
2011-01-11 22:00:00,1,1,30.87,95.41,41.0,43,78,121
2011-01-11 23:00:00,1,3,30.63,77.0,34.18,42,198,240
2011-01-12 00:00:00,3,3,5.67,61.74,22.61,37,182,219
2011-01-12 01:00:00,2,3,23.29,32.92,12.37,3,149,152
2011-01-12 02:00:00,4,3,16.03,50.73,7.59,15,170,185
2011-01-12 03:00:00,4,4,17.47,66.81,22.92,2,49,51
2011-01-12 04:00:00,3,3,29.96,78.02,44.26,7,83,90
2011-01-12 05:00:00,3,1,14.3,70.83,9.42,15,123,138
2011-01-12 06:00:00,2,1,33.29,77.13,28.43,1,18,19
2011-01-12 07:00:00,4,3,10.39,54.33,48.08,44,90,134
2011-01-12 08:00:00,4,2,24.88,78.21,31.86,18,71,89
2011-01-12 09:00:00,4,4,25.16,31.5,22.0,23,145,168
2011-01-12 10:00:00,1,3,12.57,33.01,35.82,15,9,24
2011-01-12 11:00:00,4,3,14.74,33.03,41.23,39,49,88
2011-01-12 12:00:00,1,3,30.04,91.27,29.53,1,48,49
2011-01-12 13:00:00,2,2,27.85,26.08,43.59,31,168,199
2011-01-12 14:00:00,1,2,14.87,84.12,25.73,0,98,98
2011-01-12 15:00:00,2,2,21.02,38.69,41.5,48,142,190
2011-01-12 16:00:00,4,4,6.85,57.47,47.6,17,119,136
2011-01-12 17:00:00,4,1,11.26,93.28,25.06,38,22,60
2011-01-12 18:00:00,2,4,19.57,66.87,30.25,31,75,106
2011-01-12 19:00:00,3,2,7.58,36.81,30.47,8,112,120
2011-01-12 20:00:00,2,1,30.3,42.73,39.07,2,26,28
2011-01-12 21:00:00,3,1,26.54,93.64,41.15,23,5,28
2011-01-12 22:00:00,1,2,33.31,54.17,1.36,10,23,33
2011-01-12 23:00:00,1,2,25.8,66.96,36.67,27,85,112
2011-01-13 00:00:00,1,4,33.21,56.79,39.19,15,136,151
2011-01-13 01:00:00,4,2,21.64,50.28,35.02,28,189,217
2011-01-13 02:00:00,1,1,23.01,37.86,35.68,40,66,106
2011-01-13 03:00:00,3,3,34.31,74.9,2.07,11,69,80
2011-01-13 04:00:00,1,2,24.26,77.46,22.1,45,77,122
2011-01-13 05:00:00,2,2,5.92,41.99,40.91,3,41,44
2011-01-13 06:00:00,2,4,26.71,83.12,46.7,25,59,84
2011-01-13 07:00:00,4,4,32.16,88.36,11.47,3,82,85
2011-01-13 08:00:00,2,2,28.87,93.65,28.96,10,175,185
2011-01-13 09:00:00,3,1,22.51,32.9,40.22,1,183,184
2011-01-13 10:00:00,1,1,25.14,44.31,37.62,30,86,116
2011-01-13 11:00:00,4,3,34.71,88.83,30.94,49,132,181
2011-01-13 12:00:00,1,2,7.72,35.88,0.93,2,107,109
2011-01-13 13:00:00,1,4,25.02,20.28,36.19,24,181,205
2011-01-13 14:00:00,3,1,13.5,89.67,38.66,33,165,198
2011-01-13 15:00:00,2,3,24.2,46.12,36.14,0,146,146
2011-01-13 16:00:00,2,2,23.23,53.16,38.29,4,196,200
2011-01-13 17:00:00,1,1,9.6,55.71,21.55,38,70,108
2011-01-13 18:00:00,4,2,11.2,87.86,49.69,30,23,53
2011-01-13 19:00:00,2,2,23.65,47.03,38.54,35,104,139
2011-01-13 20:00:00,4,1,8.85,91.38,28.93,2,79,81
2011-01-13 21:00:00,2,1,12.96,69.36,46.71,37,137,174
2011-01-13 22:00:00,4,1,30.06,62.18,45.41,11,148,159
2011-01-13 23:00:00,3,2,14.81,46.05,40.73,15,142,157
2011-01-14 00:00:00,4,2,19.64,39.5,28.18,7,63,70
2011-01-14 01:00:00,3,3,33.23,69.92,26.36,10,140,150
2011-01-14 02:00:00,3,4,11.81,55.75,16.44,44,70,114
2011-01-14 03:00:00,4,2,16.69,92.84,12.54,13,167,180
2011-01-14 04:00:00,3,4,23.19,59.33,25.62,26,135,161
2011-01-14 05:00:00,1,1,27.66,60.94,28.89,17,104,121
2011-01-14 06:00:00,3,2,32.05,53.34,12.23,7,165,172
2011-01-14 07:00:00,2,3,32.46,83.14,46.13,32,51,83
2011-01-14 08:00:00,4,3,28.3,53.99,27.86,3,1,4
2011-01-14 09:00:00,1,4,11.85,41.55,26.33,48,149,197
2011-01-14 10:00:00,4,1,5.74,88.96,21.78,29,118,147
2011-01-14 11:00:00,2,4,16.51,67.75,2.9,19,117,136
2011-01-14 12:00:00,2,1,9.25,67.32,44.12,29,3,32
2011-01-14 13:00:00,2,3,26.31,68.87,15.85,26,51,77
2011-01-14 14:00:00,3,4,24.83,77.51,32.12,24,110,134
2011-01-14 15:00:00,3,3,6.32,45.05,30.37,5,6,11
2011-01-14 16:00:00,4,3,30.1,22.71,29.22,4,0,4
2011-01-14 17:00:00,4,1,12.46,84.85,26.29,13,82,95
2011-01-14 18:00:00,1,4,17.97,30.31,9.07,13,185,198
2011-01-14 19:00:00,1,4,25.04,77.75,14.03,33,189,222
2011-01-14 20:00:00,4,3,17.88,26.59,26.21,40,93,133
2011-01-14 21:00:00,3,3,18.24,50.02,39.47,24,113,137
2011-01-14 22:00:00,2,1,6.97,25.04,21.6,38,193,231
2011-01-14 23:00:00,4,2,17.04,61.78,10.2,17,54,71
2011-01-15 00:00:00,1,2,27.95,72.25,4.4,19,116,135
2011-01-15 01:00:00,3,3,32.46,33.71,33.15,42,12,54
2011-01-15 02:00:00,4,2,17.4,49.73,21.17,7,27,34
2011-01-15 03:00:00,4,2,17.71,94.42,6.27,25,13,38
2011-01-15 04:00:00,3,2,26.08,55.39,33.72,20,130,150
2011-01-15 05:00:00,4,2,33.28,84.2,10.38,26,15,41
2011-01-15 06:00:00,3,3,13.01,94.17,25.45,31,88,119
2011-01-15 07:00:00,2,2,18.2,97.95,15.31,41,173,214
2011-01-15 08:00:00,3,2,28.88,91.87,46.58,49,110,159
2011-01-15 09:00:00,3,1,23.29,45.39,11.41,16,120,136
2011-01-15 10:00:00,3,3,8.32,97.01,21.0,48,130,178
2011-01-15 11:00:00,4,4,23.83,84.99,47.97,0,97,97
2011-01-15 12:00:00,4,4,10.6,86.97,15.94,26,130,156
2011-01-15 13:00:00,3,1,20.31,21.21,32.23,35,168,203
2011-01-15 14:00:00,4,1,20.87,96.34,15.84,10,156,166
2011-01-15 15:00:00,1,3,31.29,82.25,5.53,40,167,207
2011-01-15 16:00:00,1,4,18.87,81.44,31.38,40,18,58
2011-01-15 17:00:00,4,2,13.38,26.52,45.8,34,147,181
2011-01-15 18:00:00,4,1,11.93,38.61,22.63,37,20,57
2011-01-15 19:00:00,3,4,31.23,96.98,31.31,37,147,184
2011-01-15 20:00:00,2,3,10.13,60.05,30.44,41,91,132
2011-01-15 21:00:00,4,2,17.78,51.83,20.75,41,46,87
2011-01-15 22:00:00,1,3,10.62,87.2,30.74,48,90,138
2011-01-15 23:00:00,3,1,28.2,26.99,12.97,46,43,89
2011-01-16 00:00:00,4,4,19.23,53.36,18.9,35,113,148
2011-01-16 01:00:00,1,4,15.53,50.06,22.12,9,88,97
2011-01-16 02:00:00,1,4,15.83,47.99,43.2,39,1,40
2011-01-16 03:00:00,2,4,30.57,44.62,17.42,0,170,170
2011-01-16 04:00:00,3,2,21.61,36.81,31.76,21,184,205
2011-01-16 05:00:00,3,2,26.54,33.83,10.67,16,87,103
2011-01-16 06:00:00,2,3,31.91,71.23,12.63,11,146,157
2011-01-16 07:00:00,2,2,32.05,93.55,32.42,43,89,132
2011-01-16 08:00:00,3,1,14.86,60.71,38.12,12,191,203
2011-01-16 09:00:00,3,1,33.57,43.84,23.11,24,173,197
2011-01-16 10:00:00,4,4,5.75,32.73,16.75,25,168,193
2011-01-16 11:00:00,4,1,16.31,86.41,45.51,45,66,111
2011-01-16 12:00:00,2,3,31.87,97.72,6.79,39,90,129
2011-01-16 13:00:00,4,2,13.24,47.93,36.04,45,13,58
2011-01-16 14:00:00,1,2,13.19,43.28,34.51,38,147,185
2011-01-16 15:00:00,4,2,14.08,68.12,34.51,48,34,82
2011-01-16 16:00:00,4,1,23.37,82.03,46.77,42,152,194
2011-01-16 17:00:00,1,2,18.15,56.43,36.41,32,127,159
2011-01-16 18:00:00,2,4,26.8,70.41,15.08,7,131,138
2011-01-16 19:00:00,1,4,31.85,77.32,17.67,12,56,68
2011-01-16 20:00:00,4,4,25.23,96.85,19.56,25,1,26
2011-01-16 21:00:00,2,1,11.13,33.2,1.54,16,65,81
2011-01-16 22:00:00,4,2,32.98,99.79,45.68,23,88,111
2011-01-16 23:00:00,1,1,12.93,51.37,3.68,23,110,133
2011-01-17 00:00:00,1,2,9.5,77.86,34.99,11,86,97
2011-01-17 01:00:00,4,3,7.7,65.79,36.51,30,148,178
2011-01-17 02:00:00,3,3,21.9,58.93,42.19,15,88,103
2011-01-17 03:00:00,3,1,8.41,75.85,27.67,41,90,131
2011-01-17 04:00:00,1,4,9.16,51.66,36.26,15,51,66
2011-01-17 05:00:00,1,1,14.0,30.09,15.14,29,117,146
2011-01-17 06:00:00,3,4,13.45,59.11,37.28,27,142,169
2011-01-17 07:00:00,3,2,23.13,61.75,17.17,2,173,175
2011-01-17 08:00:00,4,4,29.5,36.15,45.14,32,114,146
2011-01-17 09:00:00,4,4,27.84,94.85,8.17,23,30,53
2011-01-17 10:00:00,3,2,12.87,38.2,15.79,29,61,90
2011-01-17 11:00:00,4,3,12.36,52.74,24.94,39,33,72
2011-01-17 12:00:00,4,2,33.97,32.39,38.79,47,35,82
2011-01-17 13:00:00,2,1,5.25,62.86,37.44,27,120,147
